Места установки камер;Адрес объекта;Кол-во в/к;Тип в/к;Координаты расположения в/к;Пропускная способность, Мбит/с;Vlan;Агрегат ПМ;Порт ПМ;Коммутатор ПМ;Порт ПМ;Hostname;Примечание;;;;;;
Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21211;39.73672;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21205;39.73649;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21201;39.73630;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;купольная;47.21320;39.73596;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21331;39.73717;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;купольная;47.21175;39.73511;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21315;39.73507;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21303;39.73398;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21285;39.73161;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21314;39.73146;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21305;39.73027;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21312;39.73074;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;купольная;47.21273;39.73044;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21146;39.73130;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;купольная;47.21141;39.73094;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21129;39.72965;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21254;39.72876;10;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21227;39.72697;10;;;;;;;;;;;;
